CUSTOMERID,FIRSTNAME,LASTNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,COUNTRY,REGION,EMAIL,PHONE,CREDITCARDTYPE,CREDITCARD,CREDITCARDEXPIRATIONYEAR,CREDITCARDEXPIRATIONMONTH,USERNAME,PASSWORD,AGE,INCOME,GENDER
20001,IJXJFC,YQSNEJTWGD,5637187149 Dell Way,,BOFEXCV,CA,80284,US,1,YQSNEJTWGD@dell.com,5637187149,2,9.94E+15,2008,6,user20001,password,35,20000,M
20002,VZSQKF,OEMZXMZRQN,6770458608 Dell Way,,HUFEADN,MS,41338,US,1,OEMZXMZRQN@dell.com,6770458608,2,1.03E+15,2008,6,user20002,password,66,20000,F
20003,IQGSUR,RWUFXALSJY,4884201372 Dell Way,,SHFRNWZ,HI,86921,US,1,RWUFXALSJY@dell.com,4884201372,3,8.26E+15,2008,6,user20003,password,66,60000,F
20004,HGUHAC,LUDFWBRCDB,4497284025 Dell Way,,UDDQWOL,IL,74416,US,1,LUDFWBRCDB@dell.com,4497284025,1,8.08E+15,2008,6,user20004,password,62,60000,M
20005,PIBMKF,ECDQAILOBA,7586643395 Dell Way,,SOVKKIU,MT,36809,US,1,ECDQAILOBA@dell.com,7586643395,5,3.87E+15,2008,6,user20005,password,60,20000,F
20006,VQXION,TCUFGUDURC,1931719205 Dell Way,,LXFOTGR,NM,52215,US,1,TCUFGUDURC@dell.com,1931719205,4,8.74E+15,2008,6,user20006,password,88,100000,M
20007,RXZODY,OBXKMEDDPF,2390520445 Dell Way,,TGKTJUB,OH,56069,US,1,OBXKMEDDPF@dell.com,2390520445,5,2.50E+15,2008,6,user20007,password,53,20000,M
20008,KWAPKF,GEALJQWPTE,6902186947 Dell Way,,DUJHUIS,NY,94432,US,1,GEALJQWPTE@dell.com,6902186947,3,1.56E+15,2008,6,user20008,password,42,100000,F
20009,QHJMAB,VXRFFANWUJ,4658018120 Dell Way,,OLLBLEZ,CT,82922,US,1,VXRFFANWUJ@dell.com,4658018120,4,3.36E+15,2008,6,user20009,password,47,20000,F
20010,PTBPJC,WBGTTRTZIU,2047993971 Dell Way,,QSKWJFJ,IL,46310,US,1,WBGTTRTZIU@dell.com,2047993971,1,9.14E+15,2008,6,user20010,password,56,80000,M
20011,EQDEDW,JMDFSOEHCT,5918079783 Dell Way,,QMRFYBH,CO,12170,US,1,JMDFSOEHCT@dell.com,5918079783,4,3.57E+15,2008,6,user20011,password,64,40000,F
20012,MYJFNL,KUPKIWHFKT,1475537268 Dell Way,,IUHHSKA,DE,99404,US,1,KUPKIWHFKT@dell.com,1475537268,5,8.40E+15,2008,6,user20012,password,85,40000,M
20013,NVDCZA,DHUTLOWWIY,2558445374 Dell Way,,XSRAEXP,MO,24988,US,1,DHUTLOWWIY@dell.com,2558445374,2,2.37E+15,2008,6,user20013,password,38,60000,M
20014,HEOBHX,TNNVGJBSLK,6031120924 Dell Way,,RJYBRVZ,MT,97830,US,1,TNNVGJBSLK@dell.com,6031120924,5,9.97E+15,2008,6,user20014,password,86,100000,M
20015,IAEFNY,WFKMYFSTPF,1089964806 Dell Way,,JCXZDEJ,SD,60299,US,1,WFKMYFSTPF@dell.com,1089964806,1,4.37E+15,2008,6,user20015,password,55,40000,M
20016,FVXRLJ,JTAZITXUPU,4333409449 Dell Way,,ERQPRUZ,TX,76690,US,1,JTAZITXUPU@dell.com,4333409449,4,3.84E+15,2008,6,user20016,password,42,60000,F
20017,RFRQRC,SVZLIIHNEV,5507996725 Dell Way,,EJFKKNU,ID,97184,US,1,SVZLIIHNEV@dell.com,5507996725,5,6.46E+15,2008,6,user20017,password,33,100000,F
20018,AFTJMH,RKBWAETBHW,5575143246 Dell Way,,QQJBQLK,ND,30092,US,1,RKBWAETBHW@dell.com,5575143246,4,4.77E+15,2008,6,user20018,password,61,20000,F
20019,MHCLTM,QFFYOZQRQA,6512533257 Dell Way,,SGEEMLF,MI,39934,US,1,QFFYOZQRQA@dell.com,6512533257,5,5.17E+15,2008,6,user20019,password,30,100000,F
20020,DKMAUA,QGAJDJIAMT,9833527377 Dell Way,,CBBDTEM,IA,56566,US,1,QGAJDJIAMT@dell.com,9833527377,2,3.83E+15,2008,6,user20020,password,52,80000,F
20021,JZMCUK,ERZABTJWTX,2327097848 Dell Way,,RCWALOI,ND,78501,US,1,ERZABTJWTX@dell.com,2327097848,3,9.93E+15,2008,6,user20021,password,23,80000,F
20022,PFFOBG,BQZIQGOUTG,2172161058 Dell Way,,MJOFXCN,AK,63549,US,1,BQZIQGOUTG@dell.com,2172161058,4,1.56E+15,2008,6,user20022,password,34,40000,F
20023,KQLQMR,SMMKRIVTKV,9999985553 Dell Way,,MMAUIGQ,SD,33904,US,1,SMMKRIVTKV@dell.com,9999985553,1,2.31E+15,2008,6,user20023,password,58,40000,F
20024,GNVTGQ,HNGTEZZDOT,5443047759 Dell Way,,IHPWUNN,KS,25475,US,1,HNGTEZZDOT@dell.com,5443047759,1,4.38E+15,2008,6,user20024,password,60,40000,M
20025,HMDLIG,ERMSMTZKCW,8895168342 Dell Way,,OYYXPGR,VA,19074,US,1,ERMSMTZKCW@dell.com,8895168342,5,5.25E+15,2008,6,user20025,password,56,100000,F
20026,THBSYA,DQEOFTIREG,5286638449 Dell Way,,LHYYTHV,MI,88793,US,1,DQEOFTIREG@dell.com,5286638449,4,7.88E+15,2008,6,user20026,password,83,40000,F
20027,DZGFYQ,NEBFUHUEHI,5679591960 Dell Way,,SINMJWR,NC,31577,US,1,NEBFUHUEHI@dell.com,5679591960,1,4.24E+15,2008,6,user20027,password,48,100000,M
20028,HDODXC,MHPYAIDENU,7966646485 Dell Way,,WFCPDMA,SD,46234,US,1,MHPYAIDENU@dell.com,7966646485,2,5.84E+15,2008,6,user20028,password,81,80000,M
20029,FIEVTP,VMVLTULCRK,9916953515 Dell Way,,RHWPFKW,AZ,79204,US,1,VMVLTULCRK@dell.com,9916953515,2,3.01E+15,2008,6,user20029,password,33,80000,M
20030,SEPFGY,ODIFFMRBUM,4757121883 Dell Way,,HKGYZZT,ND,93472,US,1,ODIFFMRBUM@dell.com,4757121883,4,6.36E+15,2008,6,user20030,password,54,40000,M
20031,DMLXRH,LRJRDZFBJU,2777153921 Dell Way,,YYYNLAF,MD,58504,US,1,LRJRDZFBJU@dell.com,2777153921,4,8.40E+15,2008,6,user20031,password,36,20000,M
20032,KHTTEX,OTHZTOBEKM,1999514347 Dell Way,,EYAZKOR,MT,36163,US,1,OTHZTOBEKM@dell.com,1999514347,2,9.40E+15,2008,6,user20032,password,55,80000,F
20033,UNTCWI,CEANDGBEEA,5527930802 Dell Way,,LENNGDT,NJ,49903,US,1,CEANDGBEEA@dell.com,5527930802,1,9.95E+15,2008,6,user20033,password,83,40000,F
20034,INDVZA,JMBHKWZLEO,6139154721 Dell Way,,TWNTOLY,NE,37371,US,1,JMBHKWZLEO@dell.com,6139154721,1,9.47E+15,2008,6,user20034,password,21,20000,M
20035,YUPPJQ,VJXKGQKWWF,5489942705 Dell Way,,NXFDEFU,NV,14196,US,1,VJXKGQKWWF@dell.com,5489942705,3,2.38E+15,2008,6,user20035,password,73,100000,M
20036,ICAXPQ,HRDUBSWVYS,5908302096 Dell Way,,ESHXIQJ,GA,45001,US,1,HRDUBSWVYS@dell.com,5908302096,2,2.05E+15,2008,6,user20036,password,20,60000,M
20037,IWNDVG,XBZBPGVXPK,1712117570 Dell Way,,XOIVFXL,DE,77931,US,1,XBZBPGVXPK@dell.com,1712117570,5,8.87E+15,2008,6,user20037,password,40,60000,M
20038,WENDRT,NBWMVMSZTE,1967794401 Dell Way,,VGUHKIR,NC,36039,US,1,NBWMVMSZTE@dell.com,1967794401,5,6.75E+15,2008,6,user20038,password,45,80000,F
20039,YYJULJ,SGCZOJUNWC,9943943759 Dell Way,,TOHVGQB,SD,73216,US,1,SGCZOJUNWC@dell.com,9943943759,5,8.07E+15,2008,6,user20039,password,59,40000,F
20040,LSXZCE,PCJFOAACOB,8252929977 Dell Way,,XZJDZXA,VT,97210,US,1,PCJFOAACOB@dell.com,8252929977,1,6.99E+15,2008,6,user20040,password,34,20000,M
20041,BNLTXS,SCNSCHZLSO,9833994002 Dell Way,,SBIIXVC,KS,54770,US,1,SCNSCHZLSO@dell.com,9833994002,3,6.42E+15,2008,6,user20041,password,34,40000,M
20042,FOXZCV,YZMLNOOIOK,5268833334 Dell Way,,YJPBNLR,KS,70226,US,1,YZMLNOOIOK@dell.com,5268833334,4,9.31E+15,2008,6,user20042,password,30,60000,F
20043,UPUTOE,DFJGZHAZCW,1816994017 Dell Way,,MCPAMPH,TX,15716,US,1,DFJGZHAZCW@dell.com,1816994017,4,8.49E+15,2008,6,user20043,password,33,100000,F
20044,UOIPHN,JHSZWCLTIP,6784034890 Dell Way,,NOYTOCU,ID,89836,US,1,JHSZWCLTIP@dell.com,6784034890,1,1.40E+15,2008,6,user20044,password,36,40000,M
20045,LPKUGO,TKEXJAIYXH,1980743892 Dell Way,,TMGHXYJ,MS,70020,US,1,TKEXJAIYXH@dell.com,1980743892,5,8.16E+15,2008,6,user20045,password,88,20000,F
20046,JGHOBP,OJZSHADVIE,7148417004 Dell Way,,HXPEFMK,WV,43276,US,1,OJZSHADVIE@dell.com,7148417004,3,2.78E+15,2008,6,user20046,password,62,40000,F
20047,XKZREU,GKNYOTJKYZ,7324100395 Dell Way,,TWDRSHA,MI,29744,US,1,GKNYOTJKYZ@dell.com,7324100395,4,6.23E+15,2008,6,user20047,password,42,60000,M
20048,YQJIGD,XCCTNEWZIR,9727159877 Dell Way,,WTQJNCX,NY,65352,US,1,XCCTNEWZIR@dell.com,9727159877,1,8.08E+15,2008,6,user20048,password,77,80000,M
20049,UYSNFL,BTICEYGRCN,2489761348 Dell Way,,DXVUZEJ,UT,98054,US,1,BTICEYGRCN@dell.com,2489761348,4,3.45E+15,2008,6,user20049,password,58,40000,F
20050,EQUNSV,WFUUBODRMV,3856728922 Dell Way,,OQGKPVO,AK,37589,US,1,WFUUBODRMV@dell.com,3856728922,5,5.14E+15,2008,6,user20050,password,39,40000,F
20051,XBXBRO,LCMDLEJVPD,7757556025 Dell Way,,VHIVHWW,WV,42570,US,1,LCMDLEJVPD@dell.com,7757556025,3,8.93E+15,2008,6,user20051,password,64,20000,M
20052,TEZKVN,YIVEPTAADH,1423970505 Dell Way,,OUWJKUU,NC,81187,US,1,YIVEPTAADH@dell.com,1423970505,4,6.37E+15,2008,6,user20052,password,68,20000,F
20053,YHUNKK,ZYHXLCUGOA,9994963452 Dell Way,,DMFKUDL,OK,83633,US,1,ZYHXLCUGOA@dell.com,9994963452,4,8.39E+15,2008,6,user20053,password,48,20000,F
20054,ETDEUB,LWDCAQIRJZ,7533574444 Dell Way,,QMFCXHP,VT,69272,US,1,LWDCAQIRJZ@dell.com,7533574444,5,2.33E+15,2008,6,user20054,password,73,20000,M
20055,LUKSCG,MKSRODRLDB,4561622512 Dell Way,,FQOYOXF,SD,49991,US,1,MKSRODRLDB@dell.com,4561622512,3,5.11E+15,2008,6,user20055,password,31,20000,F
20056,EVUXRY,ZFJKDBYKQO,3027698378 Dell Way,,KGGOSHP,GA,64408,US,1,ZFJKDBYKQO@dell.com,3027698378,1,4.09E+15,2008,6,user20056,password,50,40000,M
20057,ZOIWLP,TPEYAVBLRS,4867734624 Dell Way,,IZBTCNE,IA,27974,US,1,TPEYAVBLRS@dell.com,4867734624,4,6.52E+15,2008,6,user20057,password,28,100000,M
20058,YYUOAK,KLULKCFHWG,6974102344 Dell Way,,RHORMJU,MI,50857,US,1,KLULKCFHWG@dell.com,6974102344,3,4.89E+15,2008,6,user20058,password,24,60000,F
20059,LRRLVF,KHNKZGDOBU,8275056269 Dell Way,,UYQJGXT,MT,57549,US,1,KHNKZGDOBU@dell.com,8275056269,1,2.82E+15,2008,6,user20059,password,42,40000,M
20060,LRSUDY,ERXXLMHXZE,8030494891 Dell Way,,RJNBXLU,NH,53311,US,1,ERXXLMHXZE@dell.com,8030494891,5,3.90E+15,2008,6,user20060,password,57,40000,M
20061,JVJVVL,DYGFCSDJOQ,9159013241 Dell Way,,WOXBVGK,MO,37234,US,1,DYGFCSDJOQ@dell.com,9159013241,5,5.19E+15,2008,6,user20061,password,60,60000,M
20062,OPLDLZ,GMDOEKKSQF,6899572347 Dell Way,,MXPQCGE,CO,53034,US,1,GMDOEKKSQF@dell.com,6899572347,1,4.98E+15,2008,6,user20062,password,39,100000,F
20063,SUDLES,HOKLUUMSXW,1705365864 Dell Way,,ZCXUSXQ,MN,55755,US,1,HOKLUUMSXW@dell.com,1705365864,1,1.91E+15,2008,6,user20063,password,65,80000,F
20064,DUIAPS,BFDCSQUJTS,1620299580 Dell Way,,TNIEGIO,MT,96450,US,1,BFDCSQUJTS@dell.com,1620299580,3,6.81E+15,2008,6,user20064,password,32,100000,M
20065,VGVOSR,VNLAYAAJNU,2316754127 Dell Way,,APQVGJX,CA,67814,US,1,VNLAYAAJNU@dell.com,2316754127,2,8.14E+15,2008,6,user20065,password,24,20000,F
20066,AUSHWT,PDRCRQJPJY,4788686526 Dell Way,,JZJSUMS,PA,98740,US,1,PDRCRQJPJY@dell.com,4788686526,5,1.15E+15,2008,6,user20066,password,53,40000,F
20067,OENKPW,PTGHWGAOTM,8041784924 Dell Way,,JMUHTPS,NC,33386,US,1,PTGHWGAOTM@dell.com,8041784924,5,6.01E+15,2008,6,user20067,password,80,80000,M
20068,ZTYDVR,HLADSEEXQD,7338465783 Dell Way,,EIXKLDX,MN,27171,US,1,HLADSEEXQD@dell.com,7338465783,4,5.57E+15,2008,6,user20068,password,61,80000,M
20069,RCAYKJ,YHAGOQXWUO,1751288178 Dell Way,,QHRZUVL,AZ,91220,US,1,YHAGOQXWUO@dell.com,1751288178,1,9.29E+15,2008,6,user20069,password,48,20000,M
20070,PIHDIG,JQBIFVQMCY,2953577883 Dell Way,,BRZBDJX,SC,52206,US,1,JQBIFVQMCY@dell.com,2953577883,5,7.76E+15,2008,6,user20070,password,81,80000,M
20071,NUBEQU,CVIUEWUWHB,8368895418 Dell Way,,XSHZJKO,DE,86260,US,1,CVIUEWUWHB@dell.com,8368895418,4,4.37E+15,2008,6,user20071,password,50,40000,F
20072,CQWJDB,XERJEZJMYF,6405426398 Dell Way,,TXPIFFO,WY,79997,US,1,XERJEZJMYF@dell.com,6405426398,3,9.81E+15,2008,6,user20072,password,81,20000,M
20073,ZNHLPZ,YKKARAYQOY,1973383131 Dell Way,,DSVZFZS,HI,10929,US,1,YKKARAYQOY@dell.com,1973383131,5,6.57E+15,2008,6,user20073,password,26,20000,M
20074,SRENUL,UMEPJPEFAP,3468865011 Dell Way,,PETJTSK,NE,50433,US,1,UMEPJPEFAP@dell.com,3468865011,2,5.28E+15,2008,6,user20074,password,71,40000,M
20075,YUMRGC,PVUDMXYLYG,6460224884 Dell Way,,CNMNQJX,VA,86417,US,1,PVUDMXYLYG@dell.com,6460224884,5,9.66E+15,2008,6,user20075,password,85,60000,M
20076,RGJAGC,NBUACSYSPU,2608957116 Dell Way,,QMAEVGV,NC,32020,US,1,NBUACSYSPU@dell.com,2608957116,4,5.28E+15,2008,6,user20076,password,65,20000,M
20077,AHRONA,WUMCOGIMHX,2203413349 Dell Way,,QJBYKIM,DC,93810,US,1,WUMCOGIMHX@dell.com,2203413349,3,2.90E+15,2008,6,user20077,password,38,40000,F
20078,NKBQSG,AYSLXPUXKH,7133367598 Dell Way,,ESSOJGM,MN,21533,US,1,AYSLXPUXKH@dell.com,7133367598,2,7.94E+15,2008,6,user20078,password,33,80000,M
20079,ZUBIEH,RPRFTFXETT,5114745124 Dell Way,,TFWKWML,GA,36403,US,1,RPRFTFXETT@dell.com,5114745124,2,9.64E+15,2008,6,user20079,password,22,80000,M
20080,NOGJDQ,ZFEQJUOCFT,5658424042 Dell Way,,QEHVVPU,NE,20395,US,1,ZFEQJUOCFT@dell.com,5658424042,2,2.31E+15,2008,6,user20080,password,45,80000,M
20081,RYBKVU,XEXIEGEUVO,5662840660 Dell Way,,KEXUZYO,MD,97377,US,1,XEXIEGEUVO@dell.com,5662840660,3,4.96E+15,2008,6,user20081,password,42,40000,M
20082,EWVQFU,NGTAULJDWA,9583660232 Dell Way,,HFCALPH,DC,72958,US,1,NGTAULJDWA@dell.com,9583660232,5,4.19E+15,2008,6,user20082,password,36,100000,M
20083,TNWUNJ,AIUXAGRFFW,7058226636 Dell Way,,OMIKYYO,PA,84115,US,1,AIUXAGRFFW@dell.com,7058226636,1,6.58E+15,2008,6,user20083,password,54,40000,F
20084,PUCQUW,BFOFITUHRS,9457148274 Dell Way,,BBOOQGZ,NC,33335,US,1,BFOFITUHRS@dell.com,9457148274,2,1.02E+15,2008,6,user20084,password,62,40000,M
20085,MMCKXL,KYSPNISVIB,4861321374 Dell Way,,BVYACMM,MS,82157,US,1,KYSPNISVIB@dell.com,4861321374,5,5.89E+15,2008,6,user20085,password,35,80000,F
20086,JHLDQQ,MCRCKBWHUX,5542008824 Dell Way,,KABPIKW,NJ,58440,US,1,MCRCKBWHUX@dell.com,5542008824,4,2.19E+15,2008,6,user20086,password,50,60000,M
20087,DZDKOR,XAVHAOWUOF,7187294010 Dell Way,,FZSMZFJ,NH,27568,US,1,XAVHAOWUOF@dell.com,7187294010,4,6.48E+15,2008,6,user20087,password,52,80000,F
20088,KDAIDH,VCDLSFABLT,8575202323 Dell Way,,XVRERBY,OK,35107,US,1,VCDLSFABLT@dell.com,8575202323,4,8.17E+15,2008,6,user20088,password,71,60000,F
20089,DADGAR,YUVLFCBKTM,9124540003 Dell Way,,PCJIYIQ,NH,64882,US,1,YUVLFCBKTM@dell.com,9124540003,5,3.88E+15,2008,6,user20089,password,86,60000,M
20090,OFFVHH,JKZSWPNAIV,3830249643 Dell Way,,IBSPWRK,NM,33455,US,1,JKZSWPNAIV@dell.com,3830249643,1,3.49E+15,2008,6,user20090,password,74,100000,F
20091,NCGGDV,NYHNLJKSIY,5054873948 Dell Way,,DNCUUFV,KY,67939,US,1,NYHNLJKSIY@dell.com,5054873948,2,5.81E+15,2008,6,user20091,password,59,40000,M
20092,OAIEJO,XAIKMLJDLI,2162053007 Dell Way,,EIIOGWX,AK,88645,US,1,XAIKMLJDLI@dell.com,2162053007,1,3.43E+15,2008,6,user20092,password,83,20000,M
20093,ADRMDK,RLKMLZYSAP,3354035142 Dell Way,,NLXBKYK,KY,77802,US,1,RLKMLZYSAP@dell.com,3354035142,1,1.89E+15,2008,6,user20093,password,50,40000,F
20094,VJBFFD,FDRBZTYEIT,1512435961 Dell Way,,SYZRFRI,DC,10344,US,1,FDRBZTYEIT@dell.com,1512435961,1,2.51E+15,2008,6,user20094,password,36,20000,M
20095,UXZWVQ,NIKYKMCTTH,2400096794 Dell Way,,YUCOCWJ,NC,27675,US,1,NIKYKMCTTH@dell.com,2400096794,4,1.07E+15,2008,6,user20095,password,88,40000,F
20096,NBAZFQ,FUYLWPXEGX,9569259980 Dell Way,,SQVWWUL,RI,14023,US,1,FUYLWPXEGX@dell.com,9569259980,5,5.66E+15,2008,6,user20096,password,88,60000,F
20097,IYXFMV,BXFVGAWEGR,5888859320 Dell Way,,BZCMIWW,CA,74965,US,1,BXFVGAWEGR@dell.com,5888859320,5,8.04E+15,2008,6,user20097,password,82,80000,F
20098,UDQMWS,DVWCJEMSEU,3848060328 Dell Way,,CATWPEU,OR,36998,US,1,DVWCJEMSEU@dell.com,3848060328,5,5.78E+15,2008,6,user20098,password,34,100000,M
20099,NPYPQO,QBOUCEJXZU,8566428851 Dell Way,,CLPKLWL,OK,22989,US,1,QBOUCEJXZU@dell.com,8566428851,2,1.71E+15,2008,6,user20099,password,80,100000,M
20100,HJEUHL,GJDXQVXIPS,1404487596 Dell Way,,NZMIJBK,MN,94160,US,1,GJDXQVXIPS@dell.com,1404487596,3,4.58E+15,2008,6,user20100,password,22,40000,M
20101,IAIWYP,GKOVCNFHXQ,2082487640 Dell Way,,ARXNJMX,IL,10603,US,1,GKOVCNFHXQ@dell.com,2082487640,2,9.52E+15,2008,6,user20101,password,41,100000,M
20102,WHFLFF,ATYTQJWPEO,5612686930 Dell Way,,CUJCGHI,SC,41686,US,1,ATYTQJWPEO@dell.com,5612686930,2,3.77E+15,2008,6,user20102,password,48,20000,F
20103,WKXYXT,LNVXCXYPCX,9358991323 Dell Way,,NPHYDPX,WI,58800,US,1,LNVXCXYPCX@dell.com,9358991323,1,5.59E+15,2008,6,user20103,password,89,100000,F
20104,NQPTYV,WYZMWYFWIF,9273722645 Dell Way,,RRJCSVC,OR,49788,US,1,WYZMWYFWIF@dell.com,9273722645,3,8.96E+15,2008,6,user20104,password,20,100000,M
20105,YOXMDT,HUVKYPVHOG,3313762587 Dell Way,,LVUQKMV,PA,82931,US,1,HUVKYPVHOG@dell.com,3313762587,4,3.03E+15,2008,6,user20105,password,68,80000,F
20106,YXLJCL,AEXUAWCABS,1116665367 Dell Way,,CVZULUC,MS,79426,US,1,AEXUAWCABS@dell.com,1116665367,1,8.74E+15,2008,6,user20106,password,35,40000,M
20107,GMFFVN,FHMEULVTEY,1823404396 Dell Way,,SKBWDBV,NJ,46766,US,1,FHMEULVTEY@dell.com,1823404396,5,8.71E+15,2008,6,user20107,password,23,100000,M
20108,SRXQLP,SXYVPODBJU,9020525488 Dell Way,,YEGCXKY,AZ,72675,US,1,SXYVPODBJU@dell.com,9020525488,2,3.75E+15,2008,6,user20108,password,75,20000,M
20109,LDUXTT,LZYOJSOIPP,1291871002 Dell Way,,MVRVYHD,WY,90697,US,1,LZYOJSOIPP@dell.com,1291871002,5,1.31E+15,2008,6,user20109,password,80,60000,M
20110,JMSSHG,IZVPIWUHOO,8233111717 Dell Way,,GCCTAQP,HI,72223,US,1,IZVPIWUHOO@dell.com,8233111717,4,8.58E+15,2008,6,user20110,password,50,20000,F
20111,YBRUZZ,YYMAHPBREH,7843878451 Dell Way,,VKJLPFB,CA,20188,US,1,YYMAHPBREH@dell.com,7843878451,4,8.92E+15,2008,6,user20111,password,31,100000,F
20112,HGOWDX,XUHXZZLMFO,5025555538 Dell Way,,FHSEPKP,WA,42668,US,1,XUHXZZLMFO@dell.com,5025555538,4,5.24E+15,2008,6,user20112,password,47,100000,F
20113,ICDYEW,AJPHWQNHMW,5533708523 Dell Way,,PHTKMGX,NC,92644,US,1,AJPHWQNHMW@dell.com,5533708523,5,5.73E+15,2008,6,user20113,password,33,40000,M
20114,TMWEYM,TKFQFDWTMW,2841474605 Dell Way,,UXEKBJM,WA,97361,US,1,TKFQFDWTMW@dell.com,2841474605,2,8.96E+15,2008,6,user20114,password,68,80000,F
20115,CQLORE,STYXMKJIQL,5503587777 Dell Way,,KJQZOSB,NM,62995,US,1,STYXMKJIQL@dell.com,5503587777,2,3.65E+15,2008,6,user20115,password,70,80000,M
20116,PXTEPA,BBGKNVEVDR,7651315042 Dell Way,,CSUWEBN,SD,69008,US,1,BBGKNVEVDR@dell.com,7651315042,3,2.37E+15,2008,6,user20116,password,39,60000,F
20117,MOEQHG,FNZFGTDUHS,2095580789 Dell Way,,QVFEMFL,IA,77479,US,1,FNZFGTDUHS@dell.com,2095580789,5,3.24E+15,2008,6,user20117,password,41,20000,F
20118,UECACU,JHGEJZKRKX,2699033113 Dell Way,,DUUTNJT,AZ,20176,US,1,JHGEJZKRKX@dell.com,2699033113,4,6.51E+15,2008,6,user20118,password,23,20000,M
20119,PCLUNC,HRMRTGMYJY,6205678873 Dell Way,,NBHISQY,CA,96546,US,1,HRMRTGMYJY@dell.com,6205678873,5,7.00E+15,2008,6,user20119,password,39,40000,M
20120,BLDWCX,OSGYBWKQVJ,9104105053 Dell Way,,PTVBWWH,NV,70334,US,1,OSGYBWKQVJ@dell.com,9104105053,3,6.35E+15,2008,6,user20120,password,67,20000,M
20121,GUSMEH,EYWCJEXPCV,5864985778 Dell Way,,AEGHRMC,OR,77589,US,1,EYWCJEXPCV@dell.com,5864985778,5,4.42E+15,2008,6,user20121,password,39,80000,M
20122,VFTOKI,LYWIZANASC,3448516713 Dell Way,,BKSUBTS,SD,42655,US,1,LYWIZANASC@dell.com,3448516713,1,1.65E+15,2008,6,user20122,password,82,60000,F
20123,MBNKES,OMBSTKMTUA,8867807593 Dell Way,,YFNZJOI,WI,96213,US,1,OMBSTKMTUA@dell.com,8867807593,3,9.87E+15,2008,6,user20123,password,66,100000,F
20124,PPYOBH,KSUCKUVUER,7641053267 Dell Way,,UXLWAJE,IN,27949,US,1,KSUCKUVUER@dell.com,7641053267,2,1.50E+15,2008,6,user20124,password,49,100000,F
20125,GKWCYR,LSIJEOGHEY,5814718754 Dell Way,,SWSWIWE,NE,97394,US,1,LSIJEOGHEY@dell.com,5814718754,2,3.83E+15,2008,6,user20125,password,40,80000,M
20126,FNDCMF,DLWPQYNMBL,3914062938 Dell Way,,REOQFYB,NC,88826,US,1,DLWPQYNMBL@dell.com,3914062938,1,8.70E+15,2008,6,user20126,password,33,40000,M
20127,QPFJDE,IOVVZLGFTW,9209022789 Dell Way,,HAMXKIR,MI,87799,US,1,IOVVZLGFTW@dell.com,9209022789,1,4.70E+15,2008,6,user20127,password,61,40000,F
20128,EMIPJB,DRFYJALOBH,6454216438 Dell Way,,HLMMGBC,LA,45449,US,1,DRFYJALOBH@dell.com,6454216438,1,5.27E+15,2008,6,user20128,password,49,80000,F
20129,VEHQDP,SMBAPNMIKU,7770646182 Dell Way,,ZGAHAPR,NJ,72505,US,1,SMBAPNMIKU@dell.com,7770646182,3,4.58E+15,2008,6,user20129,password,79,100000,F
20130,MLAYZZ,FRDRBHTJTO,9607314797 Dell Way,,CJRATXT,MI,20579,US,1,FRDRBHTJTO@dell.com,9607314797,1,3.77E+15,2008,6,user20130,password,60,80000,F
20131,WNFWOF,BAPPUOZYNM,6213325813 Dell Way,,FTRLOWN,CA,12181,US,1,BAPPUOZYNM@dell.com,6213325813,4,7.29E+15,2008,6,user20131,password,59,100000,M
20132,QQUXSO,NWIPZISSKA,6515234778 Dell Way,,SPDLDBL,NM,48774,US,1,NWIPZISSKA@dell.com,6515234778,4,8.87E+15,2008,6,user20132,password,56,100000,M
20133,XWQBTX,RZZJBRZDBC,9690019513 Dell Way,,ULXTHFL,SD,49800,US,1,RZZJBRZDBC@dell.com,9690019513,2,6.64E+15,2008,6,user20133,password,66,40000,M
20134,NUUXFR,LVKPAHJNZO,6323292921 Dell Way,,CLGBCBN,WA,80934,US,1,LVKPAHJNZO@dell.com,6323292921,3,7.09E+15,2008,6,user20134,password,70,60000,M
20135,WDBZHC,VPTVLVZAYC,4505340015 Dell Way,,PNDCQHC,MO,59404,US,1,VPTVLVZAYC@dell.com,4505340015,4,9.86E+15,2008,6,user20135,password,71,40000,M
20136,TPVXHO,MACKOQUIMV,7066454375 Dell Way,,BWTYPUV,CA,27488,US,1,MACKOQUIMV@dell.com,7066454375,2,4.87E+15,2008,6,user20136,password,53,100000,F
20137,AXKQCV,LFRJIRGSAG,1986174883 Dell Way,,ZKXCUYS,AZ,49953,US,1,LFRJIRGSAG@dell.com,1986174883,3,8.64E+15,2008,6,user20137,password,81,20000,M
20138,VSGBIL,SAZJAUSXLO,9820511543 Dell Way,,ZZLUDBL,AL,13111,US,1,SAZJAUSXLO@dell.com,9820511543,1,2.13E+15,2008,6,user20138,password,22,40000,F
20139,AUAKGI,SBDYDFHJKW,3982442152 Dell Way,,GMAQSRT,NJ,50006,US,1,SBDYDFHJKW@dell.com,3982442152,1,4.47E+15,2008,6,user20139,password,53,40000,F
